               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               1.392,              3.5483,             0.89659,             0.67586,             0.24186,             0.21845,             0.14242,              1.0641,               1.049,             0.80854,              0.0865,              0.0015,              0.0015
                   1,              1.2908,              1.1281,             0.84065,             0.50283,             0.25258,             0.25307,             0.15816,              1.1358,              1.0283,             0.81669,            0.071977,           0.0029772,           0.0029772
                   2,              1.4564,              1.0825,             0.84326,             0.73578,             0.33533,             0.34958,             0.15593,              1.7605,             0.95897,             0.84917,            0.057328,           0.0043278,           0.0043278
                   3,              1.4469,              1.0898,             0.84518,             0.72211,             0.41172,             0.44179,             0.26603,              1.3938,             0.80688,             0.84057,            0.042552,           0.0055516,           0.0055516
                   4,              1.6229,              1.0604,             0.85411,             0.84159,             0.43124,             0.51313,             0.26524,               1.477,              1.4414,             0.82359,            0.027649,           0.0066486,           0.0066486
                   5,              1.6118,              1.0765,             0.85482,             0.74516,             0.45932,             0.49525,             0.21719,               1.632,              1.0423,             0.84517,            0.012619,            0.007619,            0.007619
                   6,              1.5972,              1.1158,             0.86325,             0.78548,             0.52044,             0.55568,             0.27699,              1.5012,              1.0601,             0.84175,            0.007624,            0.007624,            0.007624
                   7,               1.556,              1.0393,              0.8601,             0.81019,             0.55326,              0.5944,             0.27487,              1.5977,             0.96049,             0.84838,            0.007624,            0.007624,            0.007624
                   8,              1.5185,              1.0197,             0.85224,             0.80361,              0.5536,              0.6181,             0.30357,              1.4578,             0.85984,             0.82584,            0.007228,            0.007228,            0.007228
                   9,              1.5394,              0.8074,             0.84471,             0.88229,             0.54932,             0.62016,             0.31482,              1.4468,             0.97211,             0.82482,            0.006832,            0.006832,            0.006832
                  10,              1.2708,              0.7678,             0.84398,             0.59538,             0.54043,              0.6165,             0.38875,              1.1525,             0.65542,              0.8217,            0.006436,            0.006436,            0.006436
                  11,               1.336,             0.68702,             0.85078,             0.61712,             0.54674,             0.62839,             0.36223,              1.2286,             0.64377,             0.81416,             0.00604,             0.00604,             0.00604
                  12,              1.1995,             0.65286,             0.83397,             0.70948,             0.60163,              0.6442,                0.39,              1.0952,             0.58977,             0.80762,            0.005644,            0.005644,            0.005644
                  13,              1.1588,             0.60083,             0.83666,             0.68481,             0.61906,             0.66149,             0.41662,              1.1189,             0.55226,             0.80884,            0.005248,            0.005248,            0.005248
                  14,              1.1465,             0.56413,             0.82913,              0.6727,             0.61875,             0.66859,             0.42909,              1.0745,             0.53392,              0.8057,            0.004852,            0.004852,            0.004852
                  15,              1.0809,             0.54439,             0.82529,             0.75399,              0.6485,             0.69732,             0.45348,              1.0006,             0.51182,             0.80674,            0.004456,            0.004456,            0.004456
                  16,              1.0268,             0.51673,             0.81713,             0.88291,             0.66418,             0.73809,              0.4535,             0.96359,             0.50302,             0.80561,             0.00406,             0.00406,             0.00406
                  17,              1.0123,             0.50989,             0.81476,             0.81856,             0.67793,             0.74495,             0.47717,             0.95774,             0.49495,             0.80635,            0.003664,            0.003664,            0.003664
                  18,              0.9967,             0.50911,             0.81485,              0.8431,             0.67566,             0.75663,             0.47977,              0.9782,             0.48295,             0.80851,            0.003268,            0.003268,            0.003268
                  19,              0.9566,             0.48842,             0.80847,             0.84465,             0.66286,             0.75414,             0.49057,             0.97647,             0.48813,             0.80826,            0.002872,            0.002872,            0.002872
                  20,              0.9356,             0.47453,             0.80711,             0.83162,             0.70417,             0.76405,             0.50303,             0.92808,             0.45118,             0.80308,            0.002476,            0.002476,            0.002476
                  21,              0.8859,             0.44439,             0.80632,             0.87659,             0.67431,             0.76881,             0.52435,             0.86652,             0.44182,             0.79942,             0.00208,             0.00208,             0.00208
                  22,             0.89548,               0.453,             0.80646,             0.87298,             0.69601,             0.76431,             0.50957,             0.86961,              0.4387,             0.79948,            0.001684,            0.001684,            0.001684
                  23,             0.85106,             0.42882,              0.8031,             0.83619,             0.70868,             0.76713,             0.51358,             0.84408,             0.42927,             0.79837,            0.001288,            0.001288,            0.001288
                  24,             0.85569,              0.4246,             0.79787,             0.88328,             0.69076,             0.78394,             0.53592,             0.81883,             0.41244,             0.79629,            0.000892,            0.000892,            0.000892
